Index,Temperature,Humidity%,Rain
0,34,74.2,Yes
1,19,68.2,No
2,28,67.2,Yes
3,29,66.6,Yes
4,26,57.9,Yes
5,24,55.9,Yes
6,27,65.6,Yes
7,17,64.6,No
8,23,59.3,Yes
9,33,65.4,Yes
10,12,54.5,No
11,24,67.8,Yes
12,13,54.8,No
13,28,45.5,Yes
14,25,48.2,Yes
15,19,42.1,No
16,12,44.7,No
17,21,41.9,No
18,13,39.1,No
19,19,51.4,No
20,30,63.6,Yes
21,19,56.9,No
22,13,54.3,No
23,15,54.3,No
24,14,51.8,No
25,23,58.2,Yes
26,34,85.8,Yes
27,32,81.7,Yes
28,27,84.4,Yes
29,23,96.6,Yes
30,31,93.2,Yes
31,23,79.3,Yes
32,24,83.2,Yes
33,23,81.0,Yes
34,26,82.8,Yes
35,18,73.3,No
36,16,70.8,No
37,23,73.6,Yes
38,29,86.5,Yes
39,27,83.7,Yes
40,16,68.9,No
41,18,62.1,No
42,20,62.6,No
43,23,63.0,Yes
44,27,80.1,Yes
45,19,69.2,No
46,16,60.8,No
47,16,57.8,No
48,13,57.9,No
49,21,59.4,No
50,19,65.4,No
51,24,64.7,Yes
52,14,68.9,No
53,30,70.6,Yes
54,15,78.9,No
55,26,70.0,Yes
56,16,79.3,No
57,33,74.1,Yes
58,23,73.0,Yes
59,15,53.7,No
60,19,63.8,No
61,14,63.1,No
62,29,65.0,Yes
63,16,72.7,No
64,14,78.3,No
65,23,78.7,Yes
66,32,89.9,Yes
67,27,71.0,Yes
68,30,84.8,Yes
69,12,79.1,No
70,27,74.2,Yes
71,33,79.4,Yes
72,26,73.8,Yes
73,31,69.8,Yes
74,32,70.5,Yes
75,31,57.5,Yes
76,32,67.4,Yes
77,33,64.1,Yes
78,27,66.4,Yes
79,26,65.0,Yes
80,28,64.7,Yes
81,28,55.6,Yes
82,34,77.3,Yes
83,25,62.8,Yes
84,24,50.5,Yes
85,30,47.4,Yes
86,17,48.3,No
87,17,42.7,No
88,21,42.0,No
89,13,37.8,No
90,17,47.5,No
91,27,60.8,Yes
92,14,55.7,No
93,13,51.8,No
94,13,51.6,No
95,12,51.6,No
96,34,59.8,Yes
97,25,85.1,Yes
98,33,82.1,Yes
99,25,85.9,Yes
100,23,96.0,Yes
101,30,92.4,Yes
102,25,79.3,Yes
103,34,82.0,Yes
104,25,87.6,Yes
105,25,86.1,Yes
106,16,72.6,No
107,34,73.1,Yes
108,30,84.0,Yes
109,24,89.3,Yes
110,24,85.8,Yes
111,18,79.1,No
112,16,66.7,No
113,18,63.4,No
114,30,69.2,Yes
115,29,81.9,Yes
116,25,71.4,Yes
117,19,65.0,No
118,13,62.2,No
119,16,60.8,No
120,15,61.8,No
121,25,65.8,Yes
122,31,70.8,Yes
123,14,71.3,No
124,31,74.3,Yes
125,31,86.6,Yes
126,33,72.8,Yes
127,25,78.0,Yes
128,23,75.5,Yes
129,29,75.7,Yes
130,14,59.2,No
131,15,63.0,No
132,32,63.3,Yes
133,28,70.1,Yes
134,26,74.4,Yes
135,15,82.8,No
136,29,80.4,Yes
137,23,95.3,Yes
138,24,76.6,Yes
139,28,88.2,Yes
140,28,83.7,Yes
141,24,78.1,Yes
142,24,81.0,Yes
143,32,80.2,Yes
144,26,81.5,Yes
145,27,75.8,Yes
146,23,70.2,Yes
147,31,74.6,Yes
148,33,71.8,Yes
149,18,69.5,No
150,33,67.6,Yes
151,25,68.8,Yes
152,31,64.2,Yes
153,29,71.1,Yes
154,12,69.0,No
155,31,61.2,Yes
156,23,58.2,Yes
157,15,58.7,No
158,21,52.5,No
159,14,50.4,No
160,29,48.0,Yes
161,12,62.3,No
162,26,73.4,Yes
163,25,67.1,Yes
164,17,61.7,No
165,16,61.5,No
166,15,59.2,No
167,31,62.8,Yes
168,31,82.5,Yes
169,29,83.4,Yes
170,31,88.8,Yes
171,33,90.6,Yes
172,26,88.3,Yes
173,34,80.8,Yes
174,24,82.1,Yes
175,26,91.5,Yes
176,34,90.9,Yes
177,32,81.5,Yes
178,15,81.8,No
179,25,88.9,Yes
180,28,93.2,Yes
181,30,88.4,Yes
182,24,81.3,Yes
183,18,72.2,No
184,15,73.8,No
185,19,78.2,No
186,34,85.7,Yes
187,30,78.4,Yes
188,23,72.1,Yes
189,21,66.5,No
190,12,71.2,No
191,18,73.8,No
192,23,75.1,Yes
193,30,78.5,Yes
194,34,80.7,Yes
195,30,80.3,Yes
196,23,88.8,Yes
197,32,76.6,Yes
198,17,84.4,No
199,27,82.4,Yes
200,14,75.6,No
201,21,65.0,No
202,23,66.1,Yes
203,33,74.5,Yes
204,25,80.4,Yes
205,23,77.5,Yes
206,33,84.0,Yes
207,24,86.1,Yes
208,29,90.1,Yes
209,33,78.7,Yes
210,26,88.2,Yes
211,16,85.8,No
212,24,84.2,Yes
213,25,88.7,Yes
214,16,85.5,No
215,33,86.2,Yes
216,32,83.0,Yes
217,25,73.2,Yes
218,29,78.4,Yes
219,34,78.5,Yes
220,34,75.1,Yes
221,32,77.0,Yes
222,29,73.7,Yes
223,24,72.2,Yes
224,31,88.3,Yes
225,19,75.3,No
226,18,62.7,No
227,12,54.6,No
228,20,47.3,No
229,25,50.8,Yes
230,15,51.5,No
231,34,43.7,Yes
232,30,67.1,Yes
233,25,71.8,Yes
234,21,69.1,No
235,15,67.5,No
236,16,55.8,No
237,17,58.6,No
238,23,65.0,Yes
239,33,87.1,Yes
240,28,85.1,Yes
241,33,88.9,Yes
242,29,95.6,Yes
243,28,99.9,Yes
244,28,86.6,Yes
245,34,88.4,Yes
246,28,94.3,Yes
247,34,95.6,Yes
248,17,95.6,No
249,14,84.8,No
250,26,90.5,Yes
251,30,95.0,Yes
252,24,93.7,Yes
253,24,91.4,Yes
254,28,81.4,Yes
255,13,76.6,No
256,34,83.6,Yes
257,28,88.9,Yes
258,32,91.4,Yes
259,13,80.8,No
260,17,77.9,No
261,29,76.8,Yes
262,15,80.2,No
263,28,80.0,Yes
264,34,91.8,Yes
265,21,94.8,No
266,34,91.4,Yes
267,23,86.8,Yes
268,28,83.7,Yes
269,26,90.4,Yes
270,18,91.4,No
271,25,78.0,Yes
272,16,74.5,No
273,33,72.1,Yes
274,29,90.7,Yes
275,12,95.3,No
276,13,90.9,No
277,26,85.8,Yes
278,23,85.8,Yes
279,23,95.8,Yes
280,29,89.6,Yes
281,29,98.2,Yes
282,18,95.8,No
283,28,93.1,Yes
284,26,87.6,Yes
285,32,80.2,Yes
286,23,80.0,Yes
287,32,77.9,Yes
288,27,66.5,Yes
289,28,72.4,Yes
290,33,72.4,Yes
291,32,74.9,Yes
292,32,69.8,Yes
293,25,66.0,Yes
294,24,62.9,Yes
295,12,71.5,No
296,28,63.4,Yes
297,12,56.5,No
298,12,49.3,No
299,13,45.2,No
300,19,43.7,No
301,17,44.2,No
302,23,39.9,Yes
303,31,72.4,Yes
304,27,66.5,Yes
305,16,65.6,No
306,21,60.2,No
307,18,57.5,No
308,18,60.2,No
309,33,62.9,Yes
310,27,91.9,Yes
311,23,85.4,Yes
312,26,88.4,Yes
313,29,99.7,Yes
314,33,93.6,Yes
315,30,81.1,Yes
316,30,88.4,Yes
317,24,95.5,Yes
318,25,96.0,Yes
319,13,77.1,No
320,28,76.6,Yes
321,33,89.3,Yes
322,31,95.0,Yes
323,26,92.3,Yes
324,25,81.8,Yes
325,20,70.8,No
326,14,65.2,No
327,32,69.0,Yes
328,33,88.9,Yes
329,30,80.5,Yes
330,20,67.0,No
331,19,63.4,No
332,12,66.0,No
333,13,72.4,No
334,23,69.6,Yes
335,17,75.8,No
336,14,78.3,No
337,23,79.6,Yes
338,26,86.8,Yes
339,32,72.0,Yes
340,26,85.8,Yes
341,13,81.1,No
342,33,69.0,Yes
343,15,58.8,No
344,20,72.1,No
345,32,65.6,Yes
346,12,78.3,No
347,15,75.4,No
348,23,85.8,Yes
349,32,85.8,Yes
350,27,94.9,Yes
351,23,72.1,Yes
352,30,88.4,Yes
353,14,91.7,No
354,27,85.1,Yes
355,24,84.6,Yes
356,27,74.3,Yes
357,25,75.6,Yes
358,28,73.5,Yes
359,26,59.7,Yes
360,23,59.1,Yes
361,27,66.6,Yes
362,34,68.7,Yes
363,32,70.1,Yes
364,28,66.3,Yes
365,32,55.4,Yes
366,34,70.9,Yes
367,27,55.2,Yes
368,26,56.9,Yes
369,17,52.0,No
370,31,44.5,Yes
371,16,45.7,No
372,20,49.9,No
373,32,38.4,Yes
374,24,49.5,Yes
375,33,66.4,Yes
376,19,60.8,No
377,15,59.1,No
378,15,56.9,No
379,14,52.6,No
380,27,57.6,Yes
381,32,81.5,Yes
382,25,80.2,Yes
383,25,86.9,Yes
384,27,94.3,Yes
385,33,89.4,Yes
386,25,72.7,Yes
387,27,83.2,Yes
388,28,86.9,Yes
389,32,88.7,Yes
390,19,71.4,No
391,31,72.3,Yes
392,30,84.1,Yes
393,28,88.8,Yes
394,34,85.5,Yes
395,27,75.5,Yes
396,25,65.5,Yes
397,14,60.0,No
398,32,66.6,Yes
399,30,79.3,Yes
400,18,73.9,No
401,18,64.1,No
402,17,57.8,No
403,16,57.8,No
404,20,59.9,No
405,21,59.5,No
406,33,63.9,Yes
407,18,71.5,No
408,24,72.2,Yes
409,21,84.1,No
410,17,66.6,No
411,34,79.7,Yes
412,20,75.1,No
413,15,64.6,No
414,18,57.3,No
415,15,57.5,No
416,24,55.9,Yes
417,15,70.6,No
418,29,73.5,Yes
419,34,81.4,Yes
420,24,80.6,Yes
421,26,95.8,Yes
422,31,93.6,Yes
423,27,86.8,Yes
424,14,84.3,No
425,34,97.9,Yes
426,23,83.5,Yes
427,33,70.9,Yes
428,25,76.9,Yes
429,25,72.8,Yes
430,31,61.1,Yes
431,27,63.1,Yes
432,32,64.4,Yes
433,30,69.8,Yes
434,30,70.7,Yes
435,29,67.0,Yes
436,32,57.3,Yes
437,28,70.6,Yes
438,14,64.9,No
439,15,57.7,No
440,33,67.5,Yes
441,14,42.5,No
442,14,42.5,No
443,13,41.9,No
444,21,38.3,No
445,31,47.2,Yes
446,30,58.3,Yes
447,15,51.5,No
448,21,53.1,No
449,17,51.5,No
450,12,46.0,No
451,33,54.2,Yes
452,25,81.2,Yes
453,25,79.3,Yes
454,27,82.7,Yes
455,23,90.5,Yes
456,34,85.6,Yes
457,33,67.9,Yes
458,27,77.4,Yes
459,29,81.2,Yes
460,29,85.1,Yes
461,18,65.5,No
462,24,70.5,Yes
463,33,77.1,Yes
464,33,84.1,Yes
465,34,82.7,Yes
466,24,70.9,Yes
467,14,59.9,No
468,12,55.2,No
469,26,61.9,Yes
470,33,72.3,Yes
471,29,66.6,Yes
472,23,57.8,Yes
473,16,54.2,No
474,15,51.5,No
475,17,56.2,No
476,19,54.7,No
477,32,58.8,Yes
478,20,68.5,No
479,31,66.6,Yes
480,28,76.1,Yes
481,16,59.4,No
482,21,81.5,No
483,31,70.3,Yes
484,17,56.8,No
485,19,50.4,No
486,29,54.2,Yes
487,30,52.6,Yes
488,17,64.0,No
489,20,68.0,No
490,29,74.7,Yes
491,26,74.2,Yes
492,23,85.1,Yes
493,25,65.5,Yes
494,31,80.2,Yes
495,29,71.8,Yes
